,DateTime,Open,High,Low,Close,Volume
1521,20220630  09:30:00,376.245,376.995,374.155,374.22,-1
1522,20220630  09:40:00,374.22,374.85,373.84,374.44,-1
1523,20220630  09:50:00,374.44,374.605,373.045,373.35,-1
1524,20220630  10:00:00,373.35,373.36,372.565,372.99,-1
1525,20220630  10:10:00,372.99,374.07,372.845,373.555,-1
1526,20220630  10:20:00,373.555,373.815,373.005,373.53,-1
1527,20220630  10:30:00,373.53,375.025,373.265,374.12,-1
1528,20220630  10:40:00,374.12,374.315,373.73,374.22,-1
1529,20220630  10:50:00,374.22,375.895,374.15,375.79,-1
1530,20220630  11:00:00,375.79,376.355,374.845,376.245,-1
1531,20220630  11:10:00,376.245,376.42,375.68,375.945,-1
1532,20220630  11:20:00,375.945,377.835,375.92,377.275,-1
1533,20220630  11:30:00,377.275,377.505,376.43,377.16,-1
